Column1,Column2,Column3,Column4,Column5,Column6
49,51,54,25,25,4358
49,51,54,25,25,4382
49,51,54,25,25,4407
50,51,54,25,25,4432
49,51,54,25,25,4456
49,51,54,25,25,4481
49,51,54,25,25,4505
49,51,54,25,25,4530
49,50,54,25,25,4554
49,51,54,25,25,4579
49,51,54,25,25,4604
49,51,54,25,25,4628
49,51,54,25,25,4653
49,51,54,25,25,4677
49,51,54,25,25,4702
49,51,54,25,25,4727
49,51,54,25,25,4751
49,51,54,25,25,4776
49,51,54,25,25,4800
49,51,54,25,25,4825
49,51,54,25,25,4850
49,51,54,25,25,4874
49,51,54,25,25,4899
49,51,54,25,25,4923
49,51,54,25,25,4948
49,51,54,25,25,4972
49,51,54,25,25,4997
49,51,54,25,25,5022
49,51,54,25,25,5046
49,51,54,25,25,5071
49,51,54,25,25,5095
49,51,54,25,25,5120
49,51,54,25,25,5145
49,51,54,25,25,5169
49,51,54,25,25,5194
49,51,54,25,25,5218
49,51,54,25,25,5243
49,51,54,25,25,5267
49,51,54,25,25,5292
49,51,54,25,25,5317
49,51,54,25,25,5341
49,51,54,25,25,5366
49,51,54,25,25,5390
49,51,54,25,25,5415
50,51,54,25,25,5440
49,51,54,25,25,5464
49,51,54,25,25,5489
49,51,54,25,25,5513
49,51,54,25,25,5538
49,51,54,25,25,5562
49,51,54,25,25,5587
49,51,54,25,25,5612
49,51,54,25,25,5636
49,51,54,25,25,5661
49,51,54,25,25,5685
49,51,54,25,25,5710
49,51,54,25,25,5735
49,51,54,25,25,5759
49,51,54,25,25,5784
49,51,54,25,25,5808
49,51,54,25,25,5833
49,51,54,25,25,5857
49,51,54,25,25,5882
49,51,54,25,25,5907
49,51,54,25,25,5931
49,51,54,25,25,5956
50,51,54,25,25,5980
49,51,54,25,25,6005
49,51,54,25,25,6030
49,51,54,25,25,6054
49,51,54,25,25,6079
49,51,54,25,25,6103
49,51,54,25,25,6128
49,51,54,25,25,6153
49,51,54,25,25,6177
49,51,54,25,25,6202
49,51,54,25,25,6226
49,51,54,25,25,6251
49,51,54,25,25,6275
49,51,54,25,25,6300
49,51,54,25,25,6325
49,51,54,25,25,6349
49,51,54,25,25,6374
49,51,54,25,25,6398
49,51,54,25,25,6423
49,51,54,25,25,6448
49,51,54,25,25,6472
49,51,54,25,25,6497
49,51,54,25,25,6521
49,51,54,25,25,6546
49,51,54,25,25,6570
49,51,54,25,25,6595
49,51,54,25,25,6620
49,51,54,25,25,6644
49,51,54,25,25,6669
49,51,54,25,25,6693
49,51,54,25,25,6718
49,51,54,25,25,6743
49,51,54,25,25,6767
49,51,54,25,25,6792
49,51,54,25,25,6816
49,51,54,25,25,6841
49,51,54,25,25,6865
49,51,54,25,25,6890
49,51,54,25,25,6915
49,51,54,25,25,6939
49,51,54,25,25,6964
49,51,54,25,25,6988
49,51,54,25,25,7013
49,51,54,25,25,7038
49,51,54,25,25,7062
49,51,54,25,25,7087
49,51,54,25,25,7111
49,51,54,25,25,7136
49,51,54,25,25,7160
49,51,54,25,25,7185
49,51,54,25,25,7210
49,51,54,25,25,7234
49,51,54,25,25,7259
49,51,54,25,25,7283
49,51,54,25,25,7308
49,51,54,25,25,7333
49,51,54,25,25,7357
49,51,54,25,25,7382
49,51,54,25,25,7406
49,51,54,25,25,7431
49,51,54,25,25,7455
49,51,54,25,25,7480
49,51,54,25,25,7505
49,51,54,25,25,7529
49,51,54,25,25,7554
49,51,54,25,25,7578
49,51,54,25,25,7603
49,51,54,25,25,7628
49,51,54,25,25,7652
49,51,54,25,25,7677
49,51,54,25,25,7701
49,51,54,25,25,7726
49,51,54,25,25,7751
49,51,54,25,25,7775
49,51,54,25,25,7800
49,51,54,25,25,7824
49,51,54,25,25,7849
49,51,54,25,25,7873
49,51,54,25,25,7898
49,51,54,25,25,7923
49,51,54,25,25,7947
49,51,54,25,25,7972
49,51,54,25,25,7996
49,51,54,25,25,8021
49,51,54,25,25,8046
49,51,54,25,25,8070
49,51,54,25,25,8095
49,51,54,25,25,8119
49,51,54,25,25,8144
50,51,54,25,25,8168
49,51,54,25,25,8193
49,51,54,25,25,8218
49,51,54,25,25,8242
49,51,54,25,25,8267
49,51,54,25,25,8291
49,51,54,25,25,8316
49,51,54,25,25,8341
49,51,54,25,25,8365
49,51,54,25,25,8390
50,51,54,25,25,8414
49,51,54,25,25,8439
49,51,54,25,25,8463
49,51,54,25,25,8488
49,51,54,25,25,8513
49,51,54,25,25,8537
49,51,54,25,25,8562
49,51,54,25,25,8586
49,51,54,25,25,8611
49,51,54,25,25,8636
49,51,54,25,25,8660
49,51,54,25,25,8685
49,51,54,25,25,8709
49,51,54,25,25,8734
49,51,54,25,25,8758
50,51,54,25,25,8783
49,51,54,25,25,8808
49,51,54,25,25,8832
49,51,54,25,25,8857
49,51,54,25,25,8881
49,51,54,25,25,8906
49,51,54,25,25,8931
49,51,54,25,25,8955
49,51,54,25,25,8980
50,51,54,25,25,9004
49,51,54,25,25,9029
49,51,54,25,25,9054
49,51,54,25,25,9078
50,51,54,25,25,9103
49,51,54,25,25,9127
49,51,54,25,25,9152
49,51,54,25,25,9176
49,51,54,25,25,9201
49,51,54,25,25,9226
49,51,54,25,25,9250
49,51,54,25,25,9275
49,51,54,25,25,9299
50,51,54,25,25,9324
49,51,54,25,25,9349
49,51,54,25,25,9373
49,51,54,25,25,9398
49,51,54,25,25,9422
49,51,54,25,25,9447
49,51,54,25,25,9471
49,51,54,25,25,9496
49,51,54,25,25,9521
49,51,54,25,25,9545
49,51,54,25,25,9570
50,51,54,25,25,9594
49,51,54,25,25,9619
49,51,54,25,25,9644
49,51,54,25,25,9668
49,51,54,25,25,9693
50,51,54,25,25,9717
49,51,54,25,25,9742
49,51,54,25,25,9766
49,51,54,25,25,9791
50,51,54,25,25,9816
49,51,54,25,25,9840
49,51,54,25,25,9865
49,51,54,25,25,9889
50,51,54,25,25,9914
49,51,54,25,25,9939
50,51,54,25,25,9963
49,51,54,25,25,9988
49,51,54,25,25,10012
49,51,54,25,25,10038
49,51,54,25,25,10064
49,51,54,25,25,10089
49,51,54,25,25,10115
49,51,54,25,25,10140
50,51,54,25,25,10166
49,51,54,25,25,10192
49,51,54,25,25,10217
49,51,54,25,25,10243
49,51,54,25,25,10269
49,51,54,25,25,10294
49,51,54,25,25,10320
49,51,54,25,25,10345
49,51,54,25,25,10371
49,51,54,25,25,10397
49,51,54,25,25,10422
50,51,54,25,25,10448
50,51,54,25,25,10474
49,51,54,25,25,10499
50,51,54,25,25,10525
49,51,54,25,25,10550
49,51,54,25,25,10576
50,51,54,25,25,10602
50,51,54,25,25,10627
49,51,54,25,25,10653
49,51,54,25,25,10679
49,51,54,25,25,10704
49,51,54,25,25,10730
49,51,54,25,25,10755
49,51,54,25,25,10781
49,51,54,25,25,10807
49,51,54,25,25,10832
49,51,54,25,25,10858
49,51,54,25,25,10884
50,51,54,25,25,10909
49,51,54,25,25,10935
49,51,54,25,25,10961
50,51,54,25,25,10986
49,51,54,25,25,11012
49,51,54,25,25,11037
49,51,54,25,25,11063
49,51,54,25,25,11089
49,51,54,25,25,11114
50,51,54,25,25,11140
49,51,54,25,25,11166
49,51,54,25,25,11191
49,51,54,25,25,11217
49,51,54,25,25,11242
49,51,54,25,25,11268
49,51,54,25,25,11294
49,51,54,25,25,11319
49,51,54,25,25,11345
49,51,54,25,25,11371
49,51,54,25,25,11396
49,51,54,25,25,11422
49,51,54,25,25,11447
49,51,54,25,25,11473
50,51,54,25,25,11499
49,51,54,25,25,11524
49,51,54,25,25,11550
49,51,54,25,25,11576
49,51,54,25,25,11601
50,51,54,25,25,11627
49,51,54,25,25,11652
49,51,54,25,25,11678
49,51,54,25,25,11704
49,51,54,25,25,11729
49,51,54,25,25,11755
49,51,54,25,25,11781
49,51,54,25,25,11806
49,51,54,25,25,11832
49,51,54,25,25,11857
49,51,54,25,25,11883
49,51,54,25,25,11909
49,51,54,25,25,11934
49,51,54,25,25,11960
50,51,54,25,25,11986
49,51,54,25,25,12011
49,51,54,25,25,12037
49,51,54,25,25,12062
49,51,54,25,25,12088
49,51,54,25,25,12114
49,51,54,25,25,12139
49,51,54,25,25,12165
49,51,54,25,25,12191
49,51,54,25,25,12216
49,51,54,25,25,12242
49,51,54,25,25,12267
50,51,54,25,25,12293
49,51,54,25,25,12319
49,51,54,25,25,12344
49,51,54,25,25,12370
49,51,54,25,25,12396
49,51,54,25,25,12421
50,51,54,25,25,12447
49,51,54,25,25,12472
49,51,54,25,25,12498
49,51,54,25,25,12524
49,51,54,25,25,12549
49,51,54,25,25,12575
49,51,54,25,25,12601
49,51,54,25,25,12626
49,51,54,25,25,12652
49,51,54,25,25,12677
49,51,54,25,25,12703
49,51,54,25,25,12729
49,51,54,25,25,12754
49,51,54,25,25,12780
49,51,54,25,25,12806
49,51,54,25,25,12831
49,51,54,25,25,12857
49,51,54,25,25,12883
50,51,54,25,25,12908
49,51,54,25,25,12934
49,51,54,25,25,12959
49,51,54,25,25,12985
49,51,54,25,25,13011
49,51,54,25,25,13036
50,51,54,25,25,13062
49,51,54,25,25,13088
49,51,54,25,25,13113
50,51,54,25,25,13139
50,51,54,25,25,13164
49,51,54,25,25,13190
49,51,54,25,25,13216
50,51,55,25,25,13241
49,51,54,25,25,13267
49,51,54,25,25,13293
49,51,54,25,25,13318
49,51,54,25,25,13344
49,51,54,25,25,13369
50,51,54,25,25,13395
